tconst	averageRating	numVotes
tt0270804	6.6	1052
tt0271054	8.0	56
tt0271894	7.5	2499
tt0272417	8.4	587
tt0272697	7.7	92
tt0273331	2.8	168
tt0275133	8.5	53
tt0276654	4.3	14
tt0276674	4.1	121
tt0276737	6.8	48
tt0277473	7.3	71
tt0278180	7.3	149
tt0278184	4.5	29
tt0278201	6.0	8
tt0278212	1.7	1989
tt0279600	7.5	142897
tt0281415	7.1	36
tt0281432	7.3	10288
tt0282291	4.4	383
tt0282330	7.1	42
tt0283172	6.1	749
tt0283203	5.8	4807
tt0283206	8.6	22
tt0283226	7.1	13681
tt0283767	4.9	75
tt0283778	3.5	10
tt0283783	6.8	24
tt0283794	5.5	122
tt0284723	7.9	14
tt0284767	3.3	4301
tt0284798	7.8	108
tt0285331	8.4	201459
tt0286348	4.9	65
tt0286351	7.2	47
tt0286506	6.4	9
tt0288937	7.6	15001
tt0289032	7.8	12
tt0289033	5.8	153
tt0289801	5.8	79
tt0290358	8.2	124
tt0292764	7.0	50
tt0292873	6.2	18
tt0294075	7.5	332
tt0294128	5.7	360
tt0295794	7.0	661
tt0295813	6.0	28
tt0297494	7.7	27513
tt0297639	6.5	1166
tt0298620	3.0	151
tt0298665	7.2	125
tt0298683	8.3	29
tt0299345	8.4	83
tt0299353	2.8	7
tt0300849	6.4	98
tt0300865	6.7	22226
tt0302066	6.2	51
tt0302113	4.3	108
tt0302137	7.7	81
tt0302141	8.2	457
tt0302151	6.2	43
tt0302161	6.2	94
tt0303421	2.7	422
tt0305056	3.1	1355
tt0305095	6.2	455
tt0307837	6.7	179
tt0309123	6.8	1394
tt0309159	4.8	10
tt0310489	8.0	23
tt0312159	3.0	11
tt0312188	7.0	10
tt0312198	5.8	37
tt0313091	3.2	282
tt0314492	6.4	46
tt0315097	2.8	231
tt0315719	6.6	42
tt0315727	4.4	351
tt0316967	4.5	96
tt0318224	8.5	1169
tt0318251	8.8	454
tt0319940	5.4	39
tt0320037	6.4	18037
tt0320508	7.9	24
tt0320828	7.5	127
tt0320913	6.2	106
tt0320922	6.2	120
tt0320925	9.1	94
tt0320998	8.6	169
tt0321019	6.1	2577
tt0321022	8.0	31
tt0321777	8.6	469
tt0324681	6.3	400
tt0324788	7.6	27
tt0326710	6.5	27
tt0326711	7.4	29
tt0327334	8.6	161
tt0328745	7.0	52
tt0328789	7.6	3071
tt0329807	6.8	17
tt0329824	3.8	4446
tt0331776	7.7	189
tt0332841	5.6	23
tt0334878	8.2	114
tt0335774	7.1	41
tt0337215	6.1	100
tt0338590	5.8	205
tt0341193	7.5	69
tt0343229	6.3	625
tt0343298	7.2	133
tt0344638	6.0	35
tt0344642	7.7	147
tt0344743	7.9	191
tt0344757	8.0	112
tt0346254	6.6	24
tt0346306	5.8	103
tt0346307	5.5	728
tt0350452	8.7	28
tt0350466	6.8	266
tt0352047	6.5	64
tt0352110	7.2	2285
tt0353044	4.6	28
tt0353048	6.5	88
tt0353068	6.5	21
tt0354268	2.6	11
tt0354292	8.9	27
tt0355077	6.1	408
tt0355102	5.1	115
tt0355103	1.8	249
tt0355143	2.6	310
tt0356311	5.0	16
tt0358818	8.2	9
tt0360270	8.7	27
tt0361220	5.3	13
tt0361227	6.0	8802
tt0362379	4.0	342
tt0363327	8.2	8
tt0363391	7.4	442
tt0363402	6.6	31
tt0364168	7.0	34
tt0364784	8.3	345
tt0364843	8.8	3705
tt0364845	7.8	169399
tt0365998	7.7	100
tt0366002	5.9	22
tt0366019	8.0	827
tt0366345	6.9	65
tt0367278	3.4	194
tt0367423	6.8	19
tt0368470	6.1	63
tt0369073	8.5	124
tt0369079	7.3	78
tt0369117	6.7	1941
tt0369176	4.4	19
tt0369179	7.1	288065
tt0371478	5.6	13
tt0371487	7.2	44
tt0372051	7.5	90
tt0372092	6.8	25
tt0372729	7.4	9
tt0374364	5.8	39
tt0374443	7.5	26
tt0375245	2.4	30
tt0375366	7.1	9
tt0375400	8.2	11
tt0375434	7.2	9
tt0375435	7.7	111
tt0375446	4.8	156
tt0376378	5.5	10
tt0379078	4.1	52
tt0379623	6.5	18010
tt0380086	5.4	1147
tt0380100	6.9	146
tt0380147	3.5	224
tt0381791	6.3	128
tt0382449	3.8	253
tt0382488	6.6	280
tt0383792	5.8	26
tt0384778	2.9	52
tt0385462	2.6	150
tt0386155	6.5	6
tt0386995	4.3	14
tt0388572	6.2	57
tt0388574	6.8	338
tt0388595	6.3	4922
tt0388626	3.1	294
tt0389608	7.4	28
tt0390700	7.4	978
tt0391590	5.5	12
tt0391666	3.8	1487
tt0392976	7.0	7
tt0392994	4.9	14
tt0393009	6.9	1910
tt0395043	8.4	123
tt0395050	9.1	225
tt0395868	5.2	39
tt0395893	5.6	15
tt0396330	5.2	10
tt0396347	7.2	888
tt0396360	7.4	11
tt0397160	4.8	8
tt0397182	2.3	191
tt0397781	8.6	5
tt0398531	5.2	66
tt0399989	7.9	214
tt0400009	6.5	10
tt0400977	8.1	76
tt0400992	7.8	74
tt0400998	7.4	497
tt0401003	7.3	168
tt0401062	8.0	28
tt0401916	7.0	5061
tt0401922	6.2	54
tt0401928	8.0	173
tt0401958	8.5	6
tt0402644	7.4	248
tt0402691	7.5	26
tt0402706	8.2	31
