tconst	ordering	nconst	category	job	characters
tt0043228	6	nm0656745	self		"[""Self - Host""]"
tt0043228	7	nm0656745	self		"[""Host""]"
tt0043228	8	nm0656745	self		"[""Narrator""]"
tt0043228	9	nm0234732	actor		"[""Bouclet""]"
tt0043228	10	nm0234732	actor		"[""Capt. Jerry Comstock""]"
tt0043228	11	nm0234732	actor		"[""Chuck Nolan""]"
tt0043228	12	nm0185341	actor		"[""Capt. Phillips""]"
tt0043228	13	nm0185341	actor		"[""Comm. Fred Eggly""]"
tt0043228	14	nm0185341	actor		"[""Corton""]"
tt0043228	15	nm0740718	actor		"[""Albert Cook""]"
tt0043228	16	nm0740718	actor		"[""Brian Levering""]"
tt0043228	17	nm0740718	actor		"[""John Whitlock""]"
tt0043228	18	nm0723935	actor		"[""Captain Stark""]"
tt0043228	19	nm0723935	actor		"[""Cartwright""]"
tt0043228	20	nm0723935	actor		"[""Jesse Childs""]"
tt0043228	21	nm0908124	actor		"[""Det. Boyle""]"
tt0043228	22	nm0908124	actor		"[""Detective""]"
tt0043228	23	nm0908124	actor		"[""Hilburn""]"
tt0043228	24	nm0446119	actor		"[""Barney""]"
tt0043228	25	nm0446119	actor		"[""Corporal Carlson""]"
tt0043228	26	nm0446119	actor		"[""Lt. King""]"
tt0043228	27	nm0117136	actor		"[""Lt. Harry Ryan""]"
tt0043228	28	nm0117136	actor		"[""Lt. Lyle Smith""]"
tt0043228	29	nm0117136	actor		"[""Patrolman Kenny""]"
tt0044265	1	nm0956631	actress		"[""Reva Shayne""]"
tt0044265	2	nm0956631	actress		"[""Reva Shayne Lewis""]"
tt0044265	3	nm0956631	actress		"[""Dolly Shayne""]"
tt0044265	4	nm0150245	actress		"[""Beth Raines""]"
tt0044265	5	nm0150245	actress		"[""Beth Raines Bauer""]"
tt0044265	6	nm0150245	actress		"[""Beth Raines Spaulding""]"
tt0044265	7	nm0308171	actress		"[""Holly Norris""]"
tt0044265	8	nm0308171	actress		"[""Holly Norris Reade""]"
tt0044265	9	nm0308171	actress		"[""Holly Thorpe Lindsey""]"
tt0044265	10	nm0628242	actor		"[""Joshua Lewis""]"
tt0044265	11	nm0628242	actor		"[""Josh Lewis""]"
tt0044265	12	nm0628242	actor		"[""Josh Newman""]"
tt0044265	13	nm0251200	actress		"[""Harley Cooper""]"
tt0044265	14	nm0251200	actress		"[""Harley Cooper Aitoro""]"
tt0044265	15	nm0251200	actress		"[""Harley Cooper Spaulding""]"
tt0044265	16	nm0225750	actor		"[""Frank Cooper, Jr.""]"
tt0044265	17	nm0225750	actor		"[""Frank Cooper""]"
tt0044265	18	nm0225750	actor		"[""Frank Cooper Jr""]"
tt0044265	19	nm0707060	actor		"[""Alan Spaulding""]"
tt0044265	20	nm0707060	actor		"[""Alan Spaudling""]"
tt0044265	21	nm0707060	actor		"[""Alan Spualding""]"
tt0044265	22	nm0641612	actor		"[""Dr. Rick Bauer""]"
tt0044265	23	nm0641612	actor		"[""Rick Bauer""]"
tt0044265	24	nm0641612	actor		"[""Dr. Ed Bauer""]"
tt0044265	25	nm0017875	actor		"[""Phillip Spaulding""]"
tt0044265	26	nm0017875	actor		"[""Philip Spaulding""]"
tt0044265	27	nm0213210	actor		"[""Frank 'Buzz' Cooper, Sr.""]"
tt0044265	28	nm0213210	actor		"[""Buzz Cooper""]"
tt0044265	29	nm0213210	actor		"[""Buzz""]"
tt0044265	30	nm0680460	writer	created by	
tt0044265	31	nm0633202	writer	head writer	
tt0044265	32	nm1939057	writer	creator: opening sequences	
tt0044270	1	nm0134215	self		"[""Self - Announcer""]"
tt0044270	2	nm0134215	self		"[""Self - announcer""]"
tt0044270	3	nm0604711	self		"[""Self - Panelist""]"
tt0044270	4	nm0604711	self		"[""Self - Guest Moderator""]"
tt0044270	5	nm0604711	self		"[""Self - Moderator""]"
tt0044270	6	nm0191439	self		"[""Self - Panelist""]"
tt0044270	7	nm0191439	self		"[""Self""]"
tt0044270	8	nm0191439	self		"[""Self - Guest Moderator""]"
tt0044270	9	nm0601225	self		"[""Self - Moderator""]"
tt0044270	10	nm0601225	self		"[""Self - Guest Star""]"
tt0044270	11	nm0601225	self		"[""Self - Host""]"
tt0044270	12	nm0658133	self		"[""Self - Panelist""]"
tt0044270	13	nm0658133	self		"[""Self - Guest Moderator""]"
tt0044270	14	nm0616898	self		"[""Self - Panelist""]"
tt0044270	15	nm0005217	self		"[""Self - Panelist""]"
tt0044270	16	nm0005217	self		"[""Self - Guest Star""]"
tt0044270	17	nm0005217	self		"[""Self - Guest appearance""]"
tt0044270	18	nm0256207	self		"[""Self - Panelist""]"
tt0044270	19	nm0256207	self		"[""Self - Guest Star""]"
tt0044270	20	nm0006752	self		"[""Self - Moderator""]"
tt0044270	21	nm0006752	self		"[""Self - Guest Star""]"
tt0044270	22	nm0006752	self		"[""Self - Panelist""]"
tt0044270	23	nm0661607	self		"[""Self - Orchestra Leader""]"
tt0044270	24	nm0661607	self		"[""Self - Pianist""]"
tt0044270	25	nm0661607	self		"[""Self - Accordion""]"
tt0044294	1	nm0002048	actor		"[""Steve Randall""]"
tt0044294	2	nm0214392	actress		"[""Eve""]"
tt0044294	3	nm0214392	actress		"[""Eve Frazier""]"
tt0044294	4	nm0280342	actor		"[""Bender""]"
tt0044294	5	nm0280342	actor		"[""Jim Bender""]"
tt0044294	6	nm0315216	actor		"[""Andrew Carleton""]"
tt0044294	7	nm0315216	actor		"[""Carleton""]"
tt0044294	8	nm1478519	actor		"[""L.K. Burnet""]"
tt0044294	9	nm0400794	actress		
tt0044294	10	nm0471854	actor		"[""George Valdan""]"
tt0044294	11	nm0404461	actress		"[""Della Morrison""]"
tt0044294	12	nm0601379	actor		"[""Alex Manor""]"
tt0044294	13	nm5420965	actress		
tt0044298	1	nm2789663	self		"[""Self - Co-Anchor""]"
tt0044298	2	nm2789663	self		"[""Self - Correspondent""]"
tt0044298	3	nm2789663	self		"[""Self - 3rd Hour Co-Anchor""]"
tt0044298	4	nm1938316	self		"[""Self - Co-Anchor""]"
tt0044298	5	nm1938316	self		"[""Self - 4th Hour Co-Anchor""]"
tt0044298	6	nm1938316	self		"[""Self - Co-Host""]"
tt0044298	7	nm0503921	self		"[""Self - Reporter""]"
tt0044298	8	nm0503921	self		"[""Self - Reporter (1952-1966)""]"
tt0044298	9	nm0503921	self		"[""Self""]"
tt0044298	10	nm0086247	self		"[""Self - News Anchor (1953-1975)""]"
tt0044298	11	nm0086247	self		"[""Self - News Anchor""]"
tt0044298	12	nm0086247	self		"[""Self""]"
tt0044298	13	nm0737963	self		"[""Self - Weather Anchor and 3rd Hour Co-Host""]"
tt0044298	14	nm0737963	self		"[""Self - Weather Anchor""]"
tt0044298	15	nm0737963	self		"[""Self - Weather Anchor and 3rd Hour Co-Anchor""]"
tt0044298	16	nm0308541	self		"[""Self - Host""]"
tt0044298	17	nm0308541	self		"[""Self - Co-Host""]"
tt0044298	18	nm0308541	self		"[""Self""]"
tt0044298	19	nm0004856	self		"[""Self - Orange Room Host""]"
tt0044298	20	nm0004856	self		"[""Self - Feature Anchor""]"
tt0044298	21	nm0004856	self		"[""Self - Substitute Co-Anchor""]"
tt0044298	22	nm5271578	self		"[""Self - 3rd Hour Co-Host""]"
tt0044298	23	nm5271578	self		"[""Self - 3rd Hour Co-Host and Fill-In Weather Anchor""]"
tt0044298	24	nm5271578	self		"[""Self - Substitute Weather Anchor""]"
tt0044298	25	nm4411797	self		"[""Self - News Anchor and 3rd Hour Co-Host""]"
tt0044298	26	nm4411797	self		"[""Self - News Anchor""]"
tt0044298	27	nm4411797	self		"[""Self - Fill-In Co-Anchor""]"
tt0044298	28	nm1679606	self		"[""Self - 4th Hour Co-Host""]"
tt0044298	29	nm1679606	self		"[""Self - Substitute 4th Hour Co-Anchor""]"
tt0044298	30	nm1679606	self		"[""Self - Contributing Correspondent""]"
tt0045395	1	nm0001654	self		"[""Self - Host""]"
tt0045395	2	nm0001654	self		"[""Host""]"
tt0045395	3	nm0001654	self		"[""Paul Miller""]"
tt0045395	4	nm0378532	self		"[""Self - G.E. Progress Reporter""]"
tt0045395	5	nm0378532	self		"[""Self - G.E. Spokesman""]"
tt0045395	6	nm0378532	self		"[""Self - General Electric commercials""]"
tt0045395	7	nm0004864	self		"[""Self""]"
tt0045395	8	nm0004864	self		"[""Betty Anderson""]"
tt0045395	9	nm0004864	self		"[""Evelyn Kent""]"
tt0045395	10	nm0001511	actor		"[""Art Temple""]"
tt0045395	11	nm0001511	actor		"[""Captain Morrissey""]"
tt0045395	12	nm0001511	actor		"[""Clerk""]"
tt0045395	13	nm0118000	actor		"[""Buckskin""]"
tt0045395	14	nm0118000	actor		"[""Colonel Starbottle""]"
tt0045395	15	nm0118000	actor		"[""Doctor""]"
tt0045395	16	nm0549313	actress		"[""Angie Dwyer""]"
tt0045395	17	nm0549313	actress		"[""Farmer Tom's Wife""]"
tt0045395	18	nm0549313	actress		"[""Mrs. Caspar""]"
tt0045395	19	nm0000946	actor		"[""Czadek""]"
tt0045395	20	nm0000946	actor		"[""Dolph""]"
tt0045395	21	nm0000946	actor		"[""Father Tracy""]"
tt0045395	22	nm0397739	actor		"[""Detective""]"
tt0045395	23	nm0397739	actor		"[""Lieutenant Harper""]"
tt0045395	24	nm0397739	actor		"[""Milkman""]"
tt0045395	25	nm0573830	actor		"[""Clarence Dinwoodie""]"
tt0045395	26	nm0573830	actor		"[""Mr. Seeley""]"
tt0045395	27	nm0573830	actor		"[""Otto Schmidt""]"
tt0045395	28	nm0931525	actor		"[""Bishop Tenney""]"
tt0045395	29	nm0931525	actor		"[""Charlie""]"
tt0045395	30	nm0931525	actor		"[""Elder Kring""]"
tt0045395	31	nm0175080	writer	created by	
tt0045410	1	nm0858683	actor		"[""Danny Williams""]"
tt0045410	2	nm0858683	actor		"[""Robert Browning (dream sequence)""]"
tt0045410	3	nm0357608	actor		"[""Rusty Williams""]"
tt0045410	4	nm0520467	actress		"[""Kathy Williams""]"
tt0045410	5	nm0520467	actress		"[""Kathy O'Hara""]"
tt0045410	6	nm0520467	actress		"[""Mrs. Kathy Williams""]"
tt0045410	7	nm0142145	actress		"[""Linda Williams""]"
tt0045410	8	nm0414046	actress		"[""Terry Williams""]"
tt0045410	9	nm0578412	actor		"[""Charley Halper""]"
tt0045410	10	nm0353405	actress		"[""Margaret Williams""]"
tt0045410	11	nm0353405	actress		"[""Elizabeth Barrett (dream sequence)""]"
tt0045410	12	nm0709869	actress		"[""Louise""]"
tt0045410	13	nm0140946	actress		"[""Bunny Halper""]"
tt0045410	14	nm0504398	actor		"[""Benny Lessy""]"
tt0045410	15	nm0504398	actor		"[""Benny""]"
tt0045414	1	nm0001537	actor		"[""Prof. Ray McNulty""]"
tt0045414	2	nm0043072	actress		"[""Peggy McNulty""]"
tt0045414	3	nm0043072	actress		"[""Peggy McNutley""]"
tt0045414	4	nm0043072	actress		"[""Peggy McNutly""]"
tt0045414	5	nm0428160	actor		"[""Pete Thompson""]"
tt0045414	6	nm0428160	actor		"[""Pete""]"
tt0045414	7	nm0881832	actress		"[""Dean Bradley""]"
tt0045414	8	nm0881832	actress		"[""Dean Josephine Bradley""]"
tt0045414	9	nm0881832	actress		"[""Dean Bradey""]"
tt0045414	10	nm0180987	actor		"[""Dean Dodsworth""]"
tt0045414	11	nm0223190	actress		"[""Ruth Thompson""]"
tt0045414	12	nm0223190	actress		"[""Ruth""]"
tt0045414	13	nm0223190	actress		"[""Ruth Perkins""]"
tt0045414	14	nm0860050	actress		"[""Gwen Harrison""]"
tt0045414	15	nm0086636	actress		"[""Mrs. Dodsworth""]"
tt0045414	16	nm0086636	actress		"[""Diane Dodsworth""]"
tt0045414	17	nm0520968	actress		"[""Helene""]"
tt0045414	18	nm0520968	actress		"[""Ruby Murphy""]"
tt0045414	19	nm0629711	actor		
tt0045414	20	nm0175080	writer	written by	
tt0045414	21	nm0608658	writer	written by	
tt0046583	1	nm0203613	actor		"[""Rev. Richard Dennis""]"
tt0046583	2	nm0116573	actress		"[""Aunt Emily Potter""]"
tt0046583	3	nm0001358	actor		"[""Grayling Dennis #1 (1954-1959)""]"
tt0046583	4	nm0001358	actor		"[""Grayling Dennis""]"
tt0046583	5	nm0068878	actress		"[""Babby Dennis (1954-1959) (original television cast)""]"
tt0046583	6	nm0068878	actress		"[""Babby Dennis""]"
tt0046583	7	nm0375334	actress		"[""Althea Dennis Bigby""]"
tt0046583	8	nm0206761	actress		"[""Patsy Dennis""]"
tt0046583	9	nm0001157	actress		
tt0046583	10	nm0232194	actor		"[""Steven Markley""]"
tt0046583	11	nm0532251	actress		
tt0046583	12	nm1829435	actor		
tt0046583	13	nm0680460	writer	created by	
tt0046589	1	nm0020145	actress		"[""Maggie Marlowe""]"
tt0046589	2	nm0956544	actor		"[""Jim Gavin""]"
tt0046589	3	nm0793199	actress		"[""Maggie Marlowe""]"
tt0046589	4	nm0793199	actress		"[""Dot Clayton""]"
tt0046589	5	nm0705027	actor		"[""Bill Cooke""]"
tt0046589	6	nm0786829	actress		"[""Harriet""]"
tt0046589	7	nm0761487	actor		"[""Mike Donovan""]"
tt0046589	8	nm0098382	actress		"[""Cindy Clayton""]"
tt0046589	9	nm0553014	actor		"[""Bojalian""]"
tt0046589	10	nm0318142	actor		"[""Hugh Fraser""]"
tt0046589	11	nm0506885	actress		"[""Mrs. McClure""]"
tt0046589	12	nm1180618	writer	written by	
tt0046589	13	nm1183865	writer	written by	
tt0046592	1	nm0001981	actress		"[""Lily Ruskin""]"
tt0046592	2	nm0706261	actress		"[""Ruth Henshaw""]"
tt0046592	3	nm0588211	actor		"[""Matt Henshaw""]"
tt0046592	4	nm0604702	actor		"[""Pete Porter""]"
tt0046592	5	nm0271658	actress		"[""Hilda Crocker""]"
tt0046592	6	nm0095023	actress		"[""Madeline""]"
tt0046592	7	nm0095023	actress		"[""Madeliene""]"
tt0046592	8	nm0095023	actress		"[""Madeline Schweitzer""]"
tt0046592	9	nm0495396	actor		"[""Carpenter""]"
tt0046592	10	nm0495396	actor		"[""Lester""]"
tt0046592	11	nm0495396	actor		"[""Mr. Foster""]"
tt0046592	12	nm0785929	actress		"[""Elsie""]"
tt0046592	13	nm0785929	actress		"[""Madeline""]"
tt0046592	14	nm0785929	actress		"[""Nancy""]"
tt0046592	15	nm0847939	actor		"[""Bill Jeffries""]"
tt0046592	16	nm0847939	actor		"[""Bill Monahan""]"
tt0046592	17	nm0847939	actor		"[""Mr. Butterfield""]"
tt0046592	18	nm4000433	actress		"[""Edna the Maid""]"
tt0046592	19	nm4000433	actress		"[""Janice""]"
tt0046592	20	nm4000433	actress		"[""Nurse""]"
tt0046592	21	nm0506575	writer	creator	
tt0046614	1	nm0821300	self		"[""Self - Host""]"
tt0046614	2	nm0923000	self		"[""Self - Bandleader""]"
tt0046614	3	nm0923000	self		"[""Self - Musical Conductor""]"
tt0046614	4	nm0823380	self		"[""Themselves""]"
tt0046614	5	nm0661094	self		"[""Self - Announcer""]"
tt0046614	6	nm0001654	self		"[""Self - introduces the premier show from the audience""]"
tt0046614	7	nm0408840	self		"[""Self""]"
tt0046614	8	nm2949769	self		"[""Themselves""]"
tt0046641	1	nm0746709	actress		"[""Amy Ames""]"
tt0046641	2	nm0746709	actress		"[""Amy Britton""]"
tt0046641	3	nm0387617	actor		"[""Peter Ames""]"
tt0046641	4	nm0387617	actor		"[""Peter Ames #1""]"
tt0046641	5	nm0545318	actress		"[""Valerie Ames""]"
tt0046641	6	nm0545318	actress		"[""Valerie Ames Northcote""]"
tt0046641	7	nm0000935	actress		"[""Janet Porter""]"
tt0046641	8	nm0004673	actress		"[""Wendy Porter""]"
tt0046641	9	nm0341483	actor		"[""Kip Rysdale""]"
tt0046641	10	nm0916660	actor		"[""Peter Ames""]"
tt0046641	11	nm0831001	actress		"[""Pauline Harris""]"
tt0046641	12	nm0507395	actress		"[""Susan Carver""]"
tt0046641	13	nm0507395	actress		"[""Susan Ames Carver""]"
tt0046641	14	nm0507395	actress		"[""Susan Ames""]"
tt0046641	15	nm0524743	actor		"[""Frank Carver""]"
tt0046641	16	nm0934807	writer	created by	
tt0046652	1	nm0376606	self		"[""Self - Bandleader""]"
tt0046652	2	nm0376606	self		"[""Self - Conductor""]"
tt0046652	3	nm0713073	self		"[""Self - Announcer""]"
tt0046652	4	nm0713073	self		"[""Self - Guest Host""]"
tt0046652	5	nm0713073	self		"[""Self - Substitute Host""]"
tt0046652	6	nm0006752	self		"[""Self - Host""]"
tt0046652	7	nm0006752	self		"[""Self""]"
tt0046652	8	nm0493031	self		"[""Self - Singer""]"
tt0046652	9	nm0493031	self		"[""Self""]"
tt0046652	10	nm0331171	self		"[""Self - Singer""]"
tt0046652	11	nm0331171	self		"[""Self""]"
tt0046652	12	nm0930023	self		"[""Self""]"
tt0046652	13	nm0930023	self		"[""Self - Regular""]"
tt0046652	14	nm0930023	self		"[""Self - regular performer""]"
tt0046652	15	nm0456204	self		"[""Self""]"
tt0046652	16	nm0456204	self		"[""Self - Regular""]"
tt0046652	17	nm0468237	self		"[""Self - Guest Host""]"
tt0046652	18	nm0468237	self		"[""Self - Guest star""]"
tt0046652	19	nm0468237	self		"[""Self - Host""]"
tt0046652	20	nm0920825	self		"[""Self - Announcer""]"
tt0046652	21	nm0920825	self		"[""Self - Guest Announcer""]"
tt0046652	22	nm0037802	self		"[""Self - Regular""]"
tt0046652	23	nm0037802	self		"[""Self""]"
tt0046659	1	nm0336579	actor		"[""Mark Saber""]"
tt0046659	2	nm0336579	actor		"[""Guy Roberts""]"
tt0046659	3	nm0336579	actor		"[""Harrod""]"
tt0046659	4	nm0850029	actor		"[""Inspector Parker""]"
tt0046659	5	nm0850029	actor		"[""Inspector Forbes""]"
tt0046659	6	nm0850029	actor		"[""Inspector Price""]"
tt0046659	7	nm0709681	actor		"[""Host""]"
tt0046659	8	nm0709681	actor		"[""Self - Host""]"
tt0046659	9	nm0034013	actor		"[""Bob Page""]"
tt0046659	10	nm0034013	actor		"[""Eddie""]"
tt0046659	11	nm0034013	actor		"[""Martin Blane""]"
tt0046659	12	nm0213831	actress		"[""Stephanie Ames""]"
tt0046659	13	nm0213831	actress		"[""Stevie Ames""]"
tt0046659	14	nm0213831	actress		"[""Stephanie""]"
tt0046659	15	nm0564759	actor		"[""Pete Paulson""]"
tt0046659	16	nm0835738	actor		"[""Inspector""]"
tt0046659	17	nm0835738	actor		"[""Clyde Baxter""]"
tt0046659	18	nm0835738	actor		"[""Doctor""]"
tt0046659	19	nm0652113	actor		"[""Benny""]"
tt0046659	20	nm0652113	actor		"[""Porter""]"
tt0046659	21	nm0652113	actor		"[""Barman""]"
tt0046659	22	nm0050163	actor		"[""Barney O'Keefe""]"
tt0046659	23	nm0861433	actress		"[""Judy""]"
tt0046667	1	nm0749476	actor		"[""Cicero P. Sweeney""]"
tt0046667	2	nm0905924	actress		"[""Marge""]"
tt0046667	3	nm0907468	actor		"[""Kippy Franklin""]"
tt0046667	4	nm0907468	actor		"[""Kippy Sweeney""]"
tt0046667	5	nm0289043	actress		
tt0046667	6	nm0177927	actor		
tt0046667	7	nm0589622	actor		
tt0046667	8	nm0835074	actress		
tt0046667	9	nm0553014	actor		
tt0046667	10	nm0526786	actress		
tt0046667	11	nm0365778	actress		
tt0047714	1	nm0512939	self		"[""Self - Host""]"
tt0047714	2	nm0512939	self		"[""Self""]"
tt0047714	3	nm0805474	self		"[""Self - Substitute Host""]"
tt0047714	4	nm0805474	self		"[""Self - Announcer""]"
tt0047714	5	nm0805474	self		"[""Announcer""]"
tt0047714	6	nm0372128	self		"[""Self""]"
tt0047714	7	nm0372128	self		"[""Self - Guest""]"
tt0047714	8	nm3190738	self		"[""Self""]"
tt0047714	9	nm0922884	self		"[""Self""]"
tt0047714	10	nm0922884	self		"[""Self - makeup artist""]"
tt0047714	11	nm0334309	self		"[""Self""]"
tt0047714	12	nm0334309	self		"[""Self - columnist""]"
tt0047714	13	nm1323526	self		"[""Self""]"
tt0047714	14	nm1323526	self		"[""Self (attorney)""]"
tt0047714	15	nm0545224	self		"[""Self - Bandleader""]"
tt0047714	16	nm0545224	self		"[""Self""]"
tt0047714	17	nm0512942	self		"[""Self - Substitute Host""]"
tt0047714	18	nm0512942	self		"[""Self""]"
tt0047714	19	nm0271929	self		"[""Self - Substitute Host""]"
tt0047714	20	nm0271929	self		"[""Self""]"
tt0047714	21	nm0271929	self		"[""Self - Guest Host""]"
tt0047718	1	nm0444828	actor		"[""Captain Kangaroo""]"
tt0047718	2	nm0444828	actor		"[""Self - Host""]"
tt0047718	3	nm0105186	actor		"[""Mr. Green Jeans""]"
tt0047718	4	nm0105186	actor		"[""Mister Green Jeans""]"
tt0047718	5	nm0105186	actor		"[""Self - Bass""]"
tt0047718	6	nm0908413	actor		"[""Mr. Baxter""]"
tt0047718	7	nm0917380	actress		"[""Debbie""]"
tt0047718	8	nm0917380	actress		"[""Baby Duck""]"
tt0047718	9	nm0917380	actress		"[""Phoebe""]"
tt0047718	10	nm0112579	self		"[""Self""]"
tt0047718	11	nm0490050	self		"[""Self""]"
tt0047718	12	nm0490050	self		"[""Sherlock Holmes""]"
tt0047718	13	nm2835641	self		"[""Self""]"
tt0047718	14	nm0449808	self		"[""Self""]"
tt0047718	15	nm0751369	actor		"[""Mr. Spelling""]"
