tconst	parentTconst	seasonNumber	episodeNumber
tt34115873	tt3911870	1.0	2764.0
tt1177007	tt0169469	1.0	88.0
tt34727315	tt30831829	1.0	362.0
tt7762586	tt4964258		
tt15288188	tt1591173	5.0	47.0
tt0985282	tt0056758	1.0	11272.0
tt4283670	tt0092325	1.0	6970.0
tt21981280	tt2190581		
tt1849931	tt0376371		
tt28307682	tt27159524	1.0	270.0
tt1333400	tt1071624	1.0	20.0
tt9878434	tt4853622	4.0	18.0
tt4335304	tt4330678	1.0	8.0
tt1481663	tt0240272	4.0	7.0
tt8288028	tt0292764	1.0	115.0
tt31995993	tt27727527	1.0	178.0
tt14078432	tt9332810	1.0	223.0
tt21217910	tt1863662	1.0	527.0
tt16243800	tt0220205	1.0	57.0
tt33075615	tt33062164	1.0	2231.0
tt34717863	tt32165568	1.0	347.0
tt3993998	tt3976228	1.0	2.0
tt16393902	tt15521300	1.0	3.0
tt35730111	tt32544588	1.0	3.0
tt1076223	tt0412231		
tt23648724	tt10366472		
tt33093568	tt29869034	1.0	565.0
tt15598946	tt0326711	7.0	100.0
tt6240446	tt1751105	7.0	10.0
tt21800542	tt21720966	2.0	10.0
tt1760135	tt0267207	27.0	1.0
tt8505006	tt0149443	1.0	206.0
tt0742168	tt0289033	9.0	21.0
tt12275438	tt0493330	1.0	10.0
tt9539314	tt7414430	1.0	476.0
tt14333548	tt12547152	1.0	26.0
tt1442637	tt1360071	1.0	3.0
tt32821381	tt32748940	1.0	4008.0
tt0662111	tt0398531	1.0	6.0
tt8336042	tt0209604	1.0	88.0
tt9698860	tt1111847	1.0	1026.0
tt23899188	tt10189508	2.0	479.0
tt4903684	tt4876580	1.0	57.0
tt3337098	tt3225710	1.0	18.0
tt35933135	tt0977628	8.0	4.0
tt2032967	tt0862999	1.0	12.0
tt8438196	tt1577502		
tt1952637	tt1700448	1.0	225.0
tt27907646	tt27705135	1.0	25.0
tt1867370	tt0371487		
tt31841937	tt9894170	8.0	4.0
tt2305150	tt0417355		
tt11687526	tt5638364	1.0	32.0
tt3938114	tt1985601	1.0	7030.0
tt15599030	tt0326711	8.0	2.0
tt11859128	tt6064134		
tt12560176	tt7877780		
tt11846274	tt0409629		
tt3077162	tt3012814	1.0	8.0
tt0720357	tt0081945	2.0	4.0
tt1226147	tt0396360	1.0	14.0
tt23774150	tt2575614	1.0	42.0
tt15011994	tt14915340	1.0	2.0
tt4522620	tt3004376	1.0	142.0
tt34673174	tt33255857	2.0	6.0
tt8846626	tt0094423	1.0	2.0
tt14954736	tt14883990		
tt9594936	tt2570866	1.0	391.0
tt29270945	tt29079494	1.0	4612.0
tt10215220	tt7444916		
tt29119456	tt17501566	3.0	1000.0
tt15573686	tt12378132	75.0	11.0
tt1425268	tt1266000	2.0	17.0
tt30971622	tt30971381	1.0	1.0
tt13373270	tt13296670	2.0	4.0
tt35670827	tt6091552	1.0	159.0
tt0890967	tt0407377		
tt23636968	tt0214346	1.0	181.0
tt5367836	tt3004376	2.0	85.0
tt18973090	tt0344642	1.0	3056.0
tt7154974	tt4432300	3.0	10.0
tt21026794	tt17640474	1.0	184.0
tt12472598	tt6117676		
tt29008482	tt27121219	1.0	115.0
tt4209588	tt3494100	1.0	3.0
tt28516911	tt12739414	1.0	7.0
tt15958442	tt15941310		
tt28227689	tt26457524		
tt13399694	tt13397296	1.0	10.0
tt10774732	tt2070564		
tt4067966	tt3601886	2.0	5.0
tt13065960	tt10196152	1.0	344.0
tt11254678	tt8363486	1.0	9.0
tt4222654	tt0205659	1.0	14.0
tt31961577	tt28787647	2.0	2.0
tt21606796	tt6814630	1.0	1685.0
tt16313760	tt16312154	1.0	779.0
tt2387307	tt0044298		
tt2630770	tt2555006	1.0	57.0
tt32321436	tt32245089	1.0	7.0
tt9600212	tt2762330	12.0	15.0
tt9617656	tt1685078	1.0	401.0
tt1254161	tt0106172	1.0	13.0
tt1965545	tt0463397		
tt5149562	tt1808989		
tt3237180	tt0887237		
tt26349268	tt22812928	1.0	6.0
tt11947544	tt0423713	14.0	7.0
tt1256413	tt0369179	6.0	21.0
tt12057384	tt10340592	1.0	2337.0
tt30581180	tt13481488	1.0	24.0
tt0731702	tt0167735		
tt11066718	tt2621722	1.0	577.0
tt12766824	tt3777146		
tt14908874	tt11277854	5.0	2.0
tt16100556	tt16068480		
tt4292116	tt4034480	2.0	3.0
tt11187526	tt7944260	3.0	4.0
tt15666620	tt15665162	1.0	1.0
tt11555838	tt11542876	3.0	5.0
tt1694263	tt0053494	1.0	7393.0
tt14137098	tt0056758	1.0	14817.0
tt20192338	tt1003895	1.0	183.0
tt3814674	tt0355102	8.0	13.0
tt12726282	tt12188680	1.0	107.0
tt12563162	tt5453080	2.0	75.0
tt22523436	tt17640474	1.0	208.0
tt30130581	tt10366472		
tt1775003	tt0086793	1.0	1059.0
tt7227306	tt6482302	1.0	3.0
tt14864398	tt0239164		
tt7702906	tt6439752	2.0	5.0
tt1674465	tt0096636		
tt7175586	tt0127991	1.0	38.0
tt33367546	tt33362152	1.0	1702.0
tt12269874	tt12229540	2.0	8.0
tt8759562	tt0209827	1.0	55.0
tt15243890	tt1463146		
tt14623922	tt14616030	1.0	3.0
tt0854650	tt0429466	3.0	7.0
tt9342306	tt9558180		
tt14895496	tt11769024	1.0	40.0
tt0557406	tt0288937	3.0	3.0
tt1576927	tt1358085		
tt1238409	tt0072506		
tt0720463	tt0300865	1.0	13.0
tt20117998	tt14697300	1.0	6.0
tt1818827	tt0290358		
tt9914354	tt6926286	1.0	27.0
tt3438752	tt2228850	2.0	6.0
tt13020546	tt12229190	1.0	1047.0
tt0877258	tt0816401	1.0	14.0
tt10514288	tt10324344		
tt28022292	tt27954677	7.0	7.0
tt33480150	tt0260618	25.0	6.0
tt4446442	tt1227651		
tt25387848	tt0174373		
tt32730195	tt0463802		
tt21401970	tt14454780	1.0	214.0
tt28094285	tt0044265	1.0	2487.0
tt9324736	tt7915124	1.0	4.0
tt32023520	tt27113661	1.0	244.0
tt11477696	tt10299016	1.0	19.0
tt13382488	tt12258710	1.0	3.0
tt0752073	tt0118322	1.0	6.0
