id,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
92,tt0072506,tvSeries,Good Morning America,Good Morning America,0.0,1975.0,,120,"News,Talk-Show"
93,tt0072518,tvSeries,Ivor the Engine,Ivor the Engine,0.0,1976.0,1977.0,5,"Animation,Family"
94,tt0072559,tvSeries,Ryan's Hope,Ryan's Hope,0.0,1975.0,1989.0,30,"Drama,Romance"
95,tt0072561,tvSeries,Sammy and Company,Sammy and Company,0.0,1975.0,1977.0,90,"Comedy,Music"
96,tt0072562,tvSeries,Saturday Night Live,Saturday Night Live,0.0,1975.0,,90,"Comedy,Music"
97,tt0072584,tvSeries,Wheel of Fortune,Wheel of Fortune,0.0,1983.0,,30,"Family,Game-Show"
98,tt0072587,tvSeries,Yus My Dear,Yus My Dear,0.0,1976.0,1976.0,30,Comedy
99,tt0073968,tvSeries,Break the Bank,Break the Bank,0.0,1976.0,1977.0,30,Game-Show
100,tt0074077,tvSeries,The Young Doctors,The Young Doctors,0.0,1976.0,1983.0,25,"Drama,Romance"
101,tt0075281,tvSeries,The Sullivans,The Sullivans,0.0,1976.0,1983.0,30,Drama
102,tt0075512,tvSeries,Grange Hill,Grange Hill,0.0,1978.0,2008.0,30,"Comedy,Drama,Family"
103,tt0077000,tvSeries,Dallas,Dallas,0.0,1978.0,1991.0,60,"Drama,Romance"
104,tt0077058,tvSeries,The Paper Chase,The Paper Chase,0.0,1978.0,1986.0,60,Drama
105,tt0077064,tvSeries,Prisoner,Prisoner,0.0,1979.0,1986.0,50,"Crime,Drama"
106,tt0077082,tvSeries,The South Bank Show,The South Bank Show,0.0,1978.0,2023.0,53,Documentary
107,tt0077083,tvSeries,Spadla z oblakov,Spadla z oblakov,0.0,1978.0,1983.0,25,"Adventure,Comedy,Family"
108,tt0078673,tvMiniSeries,The Adventures of the Electronic,Priklyucheniya Elektronika,0.0,1979.0,1980.0,72,"Adventure,Comedy,Crime"
109,tt0081935,tvSeries,Sons and Daughters,Sons and Daughters,0.0,1982.0,1987.0,30,"Drama,Romance"
110,tt0081945,tvSeries,That's My Boy,That's My Boy,0.0,1981.0,1986.0,30,Comedy
111,tt0082201,tvSeries,Cop Shop,Cop Shop,0.0,1977.0,1984.0,50,"Action,Crime,Drama"
112,tt0083392,tvSeries,Brookside,Brookside,0.0,1982.0,2003.0,30,Drama
113,tt0083441,tvSeries,Late Night with David Letterman,Late Night with David Letterman,0.0,1982.0,1993.0,60,"Comedy,Music,Talk-Show"
114,tt0083452,tvSeries,Nature,Nature,0.0,1982.0,,60,"Documentary,Family"
115,tt0083504,tvSeries,Wogan,Wogan,0.0,1982.0,1992.0,35,Talk-Show
116,tt0084967,tvSeries,The A-Team,The A-Team,0.0,1983.0,1987.0,60,"Action,Adventure,Crime"
117,tt0084987,tvSeries,The Bill,The Bill,0.0,1984.0,2010.0,,"Crime,Drama,Mystery"
118,tt0085049,tvSeries,Loving,Loving,0.0,1983.0,1995.0,30,"Drama,Romance"
119,tt0085796,tvSeries,Kings,Kings,0.0,1983.0,1984.0,50,
120,tt0086689,tvSeries,A Country Practice,A Country Practice,0.0,1981.0,1993.0,60,"Drama,Romance"
121,tt0086729,tvSeries,Hey Dad..!,Hey Dad..!,0.0,1987.0,1994.0,23,Comedy
122,tt0086793,tvSeries,Santa Barbara,Santa Barbara,0.0,1984.0,1993.0,45,"Drama,Romance"
123,tt0086810,tvSeries,Surprise! Surprise!,Surprise! Surprise!,0.0,1984.0,2015.0,60,"Documentary,Family,Game-Show"
124,tt0086818,tvSeries,The Tripods,The Tripods,0.0,1984.0,1985.0,30,"Adventure,Drama,Sci-Fi"
125,tt0088512,tvSeries,EastEnders,EastEnders,0.0,1985.0,,30,"Crime,Drama,Romance"
126,tt0088550,tvSeries,Larry King Live,Larry King Live,0.0,1985.0,2010.0,60,"News,Talk-Show"
127,tt0088554,tvSeries,Lindenstraße,Lindenstraße,0.0,1985.0,2020.0,30,"Drama,Family"
128,tt0088580,tvSeries,Neighbours,Neighbours,0.0,1985.0,2025.0,22,"Drama,Romance"
129,tt0088608,tvMiniSeries,Sagan om Skrotnisse och hans vänner,Sagan om Skrotnisse och hans vänner,0.0,1985.0,1985.0,,"Adventure,Animation,Family"
130,tt0088625,tvSeries,Telly Addicts,Telly Addicts,0.0,1985.0,1998.0,30,Game-Show
131,tt0090440,tvSeries,Großstadtrevier,Großstadtrevier,0.0,1986.0,,50,"Comedy,Crime,Drama"
132,tt0090444,tvSeries,Head of the Class,Head of the Class,0.0,1986.0,1991.0,30,Comedy
133,tt0090493,tvSeries,The Oprah Winfrey Show,The Oprah Winfrey Show,0.0,1986.0,2011.0,60,"News,Talk-Show"
134,tt0092323,tvSeries,Bionic Six,Bionic Six,0.0,1987.0,1987.0,22,"Action,Animation,Family"
135,tt0092325,tvSeries,The Bold and the Beautiful,The Bold and the Beautiful,0.0,1987.0,,19,"Drama,Romance"
136,tt0092350,tvSeries,Fight Back with David Horowitz,Fight Back with David Horowitz,0.0,1976.0,,30,News
137,tt0092379,tvSeries,Inspector Morse,Inspector Morse,0.0,1987.0,2000.0,90,"Crime,Drama,Mystery"
138,tt0092381,tvSeries,Jake and the Fatman,Jake and the Fatman,0.0,1987.0,1992.0,120,"Crime,Drama"
139,tt0092389,tvSeries,The Country Doctor,Der Landarzt,0.0,1987.0,2013.0,45,"Drama,Romance"
140,tt0092490,tvSeries,You Must Be the Husband,You Must Be the Husband,0.0,1987.0,1988.0,30,Comedy
141,tt0094423,tvMiniSeries,Die Bertinis,Die Bertinis,0.0,1988.0,,436,Drama
142,tt0094481,tvSeries,Home and Away,Home and Away,0.0,1988.0,,22,"Drama,Romance"
143,tt0094514,tvSeries,Murphy Brown,Murphy Brown,0.0,1988.0,2018.0,30,Comedy
144,tt0094531,tvSeries,A Pup Named Scooby-Doo,A Pup Named Scooby-Doo,0.0,1988.0,1991.0,30,"Adventure,Animation,Comedy"
145,tt0096537,tvSeries,The Arsenio Hall Show,The Arsenio Hall Show,0.0,1989.0,1994.0,60,"Comedy,Music,Talk-Show"
146,tt0096555,tvSeries,Casualty,Casualty,0.0,1986.0,,50,Drama
147,tt0096592,tvSeries,G.P.,G.P.,0.0,1989.0,1996.0,58,Drama
148,tt0096597,tvSeries,"Goede tijden, slechte tijden","Goede tijden, slechte tijden",0.0,1990.0,,23,"Drama,Romance"
149,tt0096636,tvSeries,Live with Kelly and Mark,Live with Kelly and Mark,0.0,1988.0,,61,Talk-Show
150,tt0096687,tvSeries,Reporter,Reporter,0.0,1989.0,1989.0,50,
151,tt0096697,tvSeries,The Simpsons,The Simpsons,0.0,1989.0,,22,"Animation,Comedy"
152,tt0098805,tvSeries,Going Places,Going Places,0.0,1990.0,1991.0,30,Comedy
153,tt0098844,tvSeries,Law & Order,Law & Order,0.0,1990.0,,45,"Crime,Drama,Mystery"
154,tt0103380,tvSeries,California Dreams,California Dreams,0.0,1992.0,1997.0,30,"Comedy,Family,Music"
155,tt0103396,tvSeries,Dateline NBC,Dateline,0.0,1992.0,,60,"Documentary,News"
156,tt0103428,tvSeries,Goof Troop,Goof Troop,0.0,1992.0,1993.0,22,"Adventure,Animation,Comedy"
157,tt0103434,tvSeries,"Gute Zeiten, schlechte Zeiten","Gute Zeiten, schlechte Zeiten",0.0,1992.0,,25,"Drama,Family,Romance"
158,tt0103474,tvSeries,Lift Off,Lift Off,0.0,1992.0,1995.0,66,"Comedy,Family"
